Tỉnh/TP,Tổng số ca,Hôm nay,Tử vong,Diện tích (km²),Dân số (người),Vĩ độ,Kinh độ
An Giang,2373,88,4,3536,1864651,10.50720303,105.117695
Bà Rịa - Vũng Tàu,3869,22,32,1980,1181302,10.48338447,107.1245141
Bắc Giang,588,1,13,3851,1858540,21.28159478,106.200434
Bắc Kạn,7,0,0,4860,318083,22.42129374,105.8523381
Bạc Liêu,240,9,0,2669,917734,9.281929107,105.7555298
Bắc Ninh,1881,7,15,822,1450518,21.17304314,106.081066
Bến Tre,1812,4,45,2394,1295067,10.25698206,106.3844744
Bình Định,783,9,10,6066,1487009,14.16392879,109.0123986
Bình Dương,134672,2.194,1136,2694,2678220,11.2655683,106.7264669
Bình Phước,666,28,6,6877,1020839,11.9951157,106.9186976
Bình Thuận,2662,48,24,7812,1243977,10.99754146,108.2206919
Cà Mau,191,10,2,5294,1191999,9.201793358,105.1912881
Cần Thơ,4418,70,72,1439,1244736,10.04804574,105.753278
Cao Bằng,0,0,0,6700,535098,22.77578475,106.2610618
Đà Nẵng,5153,63,76,1284,1191381,16.08086389,108.0437403
Đắk Lắk,1274,79,7,13030,1897710,12.97744651,108.2697896
Đắk Nông,304,3,0,6509,652766,12.35734665,107.7044634
Điện Biên,64,0,0,9541,623295,22.16979146,103.5189278
Đồng Nai,29454,871,227,5905,3236248,11.27499219,107.2740307
Đồng Tháp,7565,95,163,3383,1586438,10.7459468,105.6411863
Gia Lai,531,13,0,15510,1566882,14.0209943,108.2106195
Hà Giang,24,0,0,7929,883388,22.88449254,105.0837432
Hà Nam,89,0,0,860,867258,20.58453344,105.9892258
Hà Nội,4119,43,47,3358,8418883,21.02065294,105.8397095
Hà Tĩnh,460,0,3,5990,1301601,18.37232528,105.9117858
Hải Dương,957,0,1,1668,1932090,20.94017657,106.3141255
Hải Phòng,63,0,0,1561,2069110,20.84479752,106.7155663
Hậu Giang,465,0,2,1621,728255,20.85407345,106.6898169
Hoà Bình,44,0,0,4591,868623,20.83402586,105.3626319
Hưng Yên,347,0,1,930,1279308,20.66296898,106.0669189
Khánh Hòa,714,97,74,5137,1246358,12.36107359,108.964593
Kiên Giang,2474,201,15,6348,1730117,9.878991148,105.2888005
Kon Tum,26,1,0,9674,565685,14.35613092,107.9756363
Lai Châu,2,0,0,9068,480588,14.339418,108.0134009
Lâm Đồng,254,4,0,9783,1319952,11.79430732,108.1541643
Lạng Sơn,211,0,1,8310,791872,21.87434937,106.7394487
Lào Cai,98,0,0,6364,756083,21.8612564,106.7648544
Long An,25987,857,305,4490,1744138,10.85689381,106.3172823
Nam Định,73,0,1,1668,1771000,20.43319693,106.1646644
Nghệ An,1688,12,5,16493,3417809,18.99063354,105.180169
Ninh Bình,172,0,0,1387,1000093,20.25204124,105.9725325
Ninh Thuận,741,3,7,3355,595698,11.76978374,109.0045024
Phú Thọ,40,0,0,3534,1495116,21.52949714,105.1405052
Phú Yên,2811,34,30,5023,875127,13.37172556,109.0731692
Quảng Bình,778,21,0,8065,905895,17.66146422,106.2142249
Quảng Nam,674,2,7,10574,1510960,15.6566668,108.0565323
Quảng Ngãi,807,31,0,5135,1234704,15.17132675,108.8588228
Quảng Ninh,123,0,0,6177,1358490,21.48336624,107.5646179
Quảng Trị,144,0,1,4739,639414,16.6853938,107.1738586
Sóc Trăng,977,13,20,3311,1181835,9.628654912,105.9839882
Sơn La,223,2,0,14123,1286068,21.40046235,103.8980195
Tây Ninh,5996,136,13,4041,1190852,11.37830833,106.1282769
Thái Bình,125,0,0,1570,1876579,20.46032573,106.3240496
Thái Nguyên,22,0,0,3536,1322235,21.56714617,105.8261458
Thanh Hóa,408,11,1,11114,3690022,19.81257475,105.7883052
Thừa Thiên Huế,718,14,11,2061,1783165,16.52349765,107.5954477
Tiền Giang,10817,234,268,5048,1137045,10.39312129,106.3625133
TP. Hồ Chí Minh,259056,7.122,10685,2510,9411805,10.6760273,106.7169754
Trà Vinh,1429,20,13,2358,1010404,9.972746628,106.3331796
Tuyên Quang,9,0,0,5867,797392,21.80666479,105.2335062
Vĩnh Long,2128,9,39,1475,1022408,10.26100364,105.9301636
Vĩnh Phúc,255,0,3,1235,1184074,21.44843607,105.4991535
Yên Bái,7,0,0,6887,838181,21.73157683,104.8945596
